Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change
02-Jan-17,15.465,16.375,14.64,15.83,15.465,0.37,2.36
03-Jan-17,15.83,16.4175,14.9025,15.9575,15.83,0.13,0.81
04-Jan-17,15.9575,16.1,14.8975,15.89,15.9575,-0.07,-0.42
05-Jan-17,15.89,15.89,14.4475,15.05,15.89,-0.84,-5.29
06-Jan-17,15.05,15.0875,13.9225,14.9125,15.05,-0.14,-0.91
09-Jan-17,14.9125,15.635,13.82,15.48,14.9125,0.57,3.81
10-Jan-17,15.48,15.48,14.025,15.195,15.48,-0.29,-1.84
11-Jan-17,15.195,15.195,13.5375,14.8075,15.195,-0.39,-2.55
12-Jan-17,14.8075,14.865,13.4625,14.6125,14.8075,-0.2,-1.32
13-Jan-17,14.6125,14.6525,13.375,14.3825,14.6125,-0.23,-1.57
16-Jan-17,14.3825,15.25,13.425,15.065,14.3825,0.68,4.75
17-Jan-17,15.065,15.62,13.98,15.3925,15.065,0.33,2.17
18-Jan-17,15.3925,15.3925,13.6125,15.1825,15.3925,-0.21,-1.36
19-Jan-17,15.1825,15.2775,14.035,15.02,15.1825,-0.16,-1.07
20-Jan-17,15.02,15.8675,13.8525,15.79,15.02,0.77,5.13
23-Jan-17,15.79,16.3725,15.5025,15.905,15.79,0.12,0.73
24-Jan-17,15.905,15.96,14.3875,15.285,15.905,-0.62,-3.9
25-Jan-17,15.285,15.425,14.41,15.17,15.285,-0.12,-0.75
27-Jan-17,15.17,16.125,14.93,16.005,15.17,0.84,5.5
30-Jan-17,16.005,16.8575,15.3925,16.67,16.005,0.67,4.15
31-Jan-17,16.67,17.09,15.7125,16.825,16.67,0.16,0.93
01-Feb-17,16.825,17.4275,13.8025,13.97,16.825,-2.86,-16.97
02-Feb-17,13.97,13.97,12.64,13.52,13.97,-0.45,-3.22
03-Feb-17,13.52,13.595,11.7825,13.1275,13.52,-0.39,-2.9
06-Feb-17,13.1275,13.6125,11.06,13.3975,13.1275,0.27,2.06
07-Feb-17,13.3975,13.7225,12.24,13.5075,13.3975,0.11,0.82
08-Feb-17,13.5075,13.7575,11.435,13.35,13.5075,-0.16,-1.17
09-Feb-17,13.35,13.78,11.395,13.235,13.35,-0.12,-0.86
10-Feb-17,13.235,13.3325,11.37,13.1775,13.235,-0.06,-0.43
13-Feb-17,13.1775,13.76,11.57,13.6925,13.1775,0.52,3.91
14-Feb-17,13.6925,14.01,12.0975,13.8025,13.6925,0.11,0.8
15-Feb-17,13.8025,14.46,11.7275,14.2125,13.8025,0.41,2.97
16-Feb-17,14.2125,14.2125,11.4375,13.73,14.2125,-0.48,-3.39
17-Feb-17,13.73,13.7725,12.4675,13.4325,13.73,-0.3,-2.17
20-Feb-17,13.4325,13.8475,12.4125,13.61,13.4325,0.18,1.32
21-Feb-17,13.61,14.2825,11.8925,13.525,13.61,-0.09,-0.62
22-Feb-17,13.525,14.0425,12.7225,13.7,13.525,0.18,1.29
23-Feb-17,13.7,13.96,12.915,13.4,13.7,-0.3,-2.19
27-Feb-17,13.4,14.2725,13.4,13.675,13.4,0.28,2.05
28-Feb-17,13.675,14.025,13.1675,13.7925,13.675,0.12,0.86
01-Mar-17,13.7925,13.7975,13.2075,13.575,13.7925,-0.22,-1.58
02-Mar-17,13.575,13.615,13.03,13.3625,13.575,-0.21,-1.57
03-Mar-17,13.3625,13.6025,12.5675,13.3525,13.3625,-0.01,-0.07
06-Mar-17,13.3525,13.725,12.81,13.64,13.3525,0.29,2.15
