Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change
01-Jan-18,12.67,13.6125,12.545,13.3525,12.67,0.68,5.39
02-Jan-18,13.3525,13.8425,12.605,13.685,13.3525,0.33,2.49
03-Jan-18,13.685,13.715,12.765,13.6225,13.685,-0.06,-0.46
04-Jan-18,13.6225,13.7925,12.1825,13.415,13.6225,-0.21,-1.52
05-Jan-18,13.415,13.415,12.42,13.1125,13.415,-0.3,-2.25
08-Jan-18,13.1125,13.855,11.8125,13.735,13.1125,0.62,4.75
09-Jan-18,13.735,14.13,12.25,13.8475,13.735,0.11,0.82
10-Jan-18,13.8475,14.2275,12.5175,14.035,13.8475,0.19,1.35
11-Jan-18,14.035,14.2775,12.985,14.0125,14.035,-0.02,-0.16
12-Jan-18,14.0125,14.5525,11.92,13.7325,14.0125,-0.28,-2
15-Jan-18,13.7325,14.475,11.8125,14.305,13.7325,0.57,4.17
16-Jan-18,14.305,14.585,12.3475,14.085,14.305,-0.22,-1.54
17-Jan-18,14.085,14.445,10.345,13.86,14.085,-0.23,-1.6
18-Jan-18,13.86,14.22,11.655,13.96,13.86,0.1,0.72
19-Jan-18,13.96,14.195,10.75,13.9825,13.96,0.02,0.16
22-Jan-18,13.9825,15.59,12.0675,15.3925,13.9825,1.41,10.08
23-Jan-18,15.3925,16.2975,14.11,16.225,15.3925,0.83,5.41
24-Jan-18,16.225,18.495,14.64,18.04,16.225,1.82,11.19
25-Jan-18,18.04,18.235,17.035,17.5075,18.04,-0.53,-2.95
29-Jan-18,17.5075,18.485,16.3625,17.8875,17.5075,0.38,2.17
30-Jan-18,17.8875,18.005,16.15,16.415,17.8875,-1.47,-8.23
31-Jan-18,16.415,16.415,14.2875,15.93,16.415,-0.49,-2.95
01-Feb-18,15.93,16.7725,13.9025,14.1075,15.93,-1.82,-11.44
02-Feb-18,14.1075,15.49,11.4975,15.25,14.1075,1.14,8.1
05-Feb-18,15.25,18.335,15.08,16.0525,15.25,0.8,5.26
06-Feb-18,16.0525,23.1575,16.0525,20.015,16.0525,3.96,24.68
07-Feb-18,20.015,20.015,16.7975,19.465,20.015,-0.55,-2.75
08-Feb-18,19.465,24.035,15.2625,17.7725,19.465,-1.69,-8.7
09-Feb-18,17.7725,20.4225,15.15,19.23,17.7725,1.46,8.2
12-Feb-18,19.23,19.23,16.5675,17.8825,19.23,0,0
14-Feb-18,17.8825,17.8825,15.52,17.185,17.8825,0,0
15-Feb-18,17.185,17.185,14.085,16.315,17.185,-0.87,-5.06
16-Feb-18,16.315,16.9725,12.57,16.3775,16.315,0.06,0.38
19-Feb-18,16.3775,18.035,13.955,16.6675,16.3775,0.29,1.77
20-Feb-18,16.6675,17.5375,16.3275,16.8675,16.6675,0.2,1.2
21-Feb-18,16.8675,16.87,15.725,15.92,16.8675,-0.95,-5.62
22-Feb-18,15.92,16.4575,14.5025,14.8325,15.92,0,0
23-Feb-18,14.8325,14.8325,13.535,14.2025,14.8325,-0.63,-4.25
26-Feb-18,14.2025,14.325,13.53,13.695,14.2025,-0.51,-3.57
27-Feb-18,13.695,14.4225,12.4475,13.9225,13.695,0,0
28-Feb-18,13.9225,14.4,12.525,13.805,13.9225,0,0
01-Mar-18,13.805,14.2525,12.405,14.0725,13.805,0,0
05-Mar-18,14.0725,15.99,12.2325,15.395,14.0725,1.32,9.4
06-Mar-18,15.395,16.4475,13.16,16.245,15.395,0,0
07-Mar-18,16.245,16.46,13.4475,15.7,16.245,-0.55,-3.35
08-Mar-18,15.7,15.7,12.485,14.585,15.7,-1.12,-7.1
09-Mar-18,14.585,14.7625,12.905,14.525,14.585,-0.06,-0.41
12-Mar-18,14.525,14.6625,12.01,14.4925,14.525,0,0
13-Mar-18,14.4925,14.62,12.3875,14.4625,14.4925,-0.03,-0.21
14-Mar-18,14.4625,14.9525,11.735,14.3625,14.4625,-0.1,-0.69
15-Mar-18,14.3625,14.655,11.295,14.33,14.3625,-0.03,-0.23
16-Mar-18,14.33,15.6225,11.6325,15.22,14.33,0.89,6.21
19-Mar-18,15.22,16.01,13.1425,15.82,15.22,0.6,3.94
20-Mar-18,15.82,16.125,15.17,15.6075,15.82,-0.21,-1.34
21-Mar-18,15.6075,15.6075,12.3925,15.1075,15.6075,-0.5,-3.2
22-Mar-18,15.1075,15.3625,11.99,15.2475,15.1075,0,0
23-Mar-18,15.2475,16.38,15.2475,15.545,15.2475,0.3,1.95
26-Mar-18,15.545,16.3825,14.8575,15.195,15.545,0,0
27-Mar-18,15.195,16.1075,14.495,15.55,15.195,0,0
28-Mar-18,15.55,15.97,14.8175,15.7575,15.55,0.21,1.33
02-Apr-18,15.7575,16.45,15.1975,15.3475,15.7575,-0.41,-2.6
03-Apr-18,15.3475,15.775,14.8775,15.185,15.3475,-0.16,-1.06
04-Apr-18,15.185,16.485,13.6825,16.34,15.185,0,0
05-Apr-18,16.34,16.34,13.8625,14.7975,16.34,0,0
06-Apr-18,14.7975,15.155,13.01,14.7475,14.7975,-0.05,-0.34
09-Apr-18,14.7475,15.1375,14.46,14.8675,14.7475,0.12,0.81
10-Apr-18,14.8675,14.8675,14.005,14.4975,14.8675,0,0
11-Apr-18,14.4975,14.9075,12.74,14.72,14.4975,0.22,1.53
12-Apr-18,14.72,14.9925,11.8075,14.56,14.72,-0.16,-1.09
13-Apr-18,14.56,14.56,13.45,14.14,14.56,-0.42,-2.88
16-Apr-18,14.14,14.8625,13.41,14.26,14.14,0.12,0.85
17-Apr-18,14.26,14.3975,13.3475,14.0425,14.26,-0.22,-1.53
18-Apr-18,14.0425,14.3675,13.165,14.11,14.0425,0.07,0.48
19-Apr-18,14.11,14.11,12.5025,13.7475,14.11,-0.36,-2.57
20-Apr-18,13.7475,13.765,9.7425,12.9375,13.7475,-0.81,-5.89
23-Apr-18,12.9375,13.4925,11.53,13.145,12.9375,0.21,1.6
24-Apr-18,13.145,13.3875,11.4875,11.895,13.145,-1.25,-9.51
25-Apr-18,11.895,13.315,11.895,12.395,11.895,0.5,4.2
26-Apr-18,12.395,13.58,11.7425,12.0375,12.395,-0.36,-2.88
27-Apr-18,12.0375,12.6325,11.4375,12.0175,12.0375,-0.02,-0.17
30-Apr-18,12.0175,12.5525,12.0175,12.3625,12.0175,0.35,2.87
02-May-18,12.3625,13.1975,12.3625,12.84,12.3625,0.48,3.86
03-May-18,12.84,13.2075,12.47,12.985,12.84,0.15,1.13
04-May-18,12.985,13.455,10.9875,13.25,12.985,0.27,2.04
07-May-18,13.25,13.9625,12.8275,13.76,13.25,0.51,3.85
08-May-18,13.76,14.435,11.0925,14.055,13.76,0.3,2.14
09-May-18,14.055,14.5575,12.1225,14.2725,14.055,0.22,1.55
10-May-18,14.2725,14.65,12.5625,14.425,14.2725,0.15,1.07
11-May-18,14.425,14.82,13.0025,13.9775,14.425,-0.45,-3.1
14-May-18,13.9775,14.4975,12.1075,14.245,13.9775,0.27,1.91
15-May-18,14.245,14.245,11.4875,13.165,14.245,-1.08,-7.58
16-May-18,13.165,13.645,10.855,13.435,13.165,0.27,2.05
17-May-18,13.435,13.68,11.09,13.4075,13.435,-0.03,-0.2
18-May-18,13.4075,14.3525,11.6125,14.15,13.4075,0.74,5.54
21-May-18,14.15,14.5375,11.755,14.41,14.15,0.26,1.84
22-May-18,14.41,14.41,11.745,13.6025,14.41,-0.81,-5.6
23-May-18,13.6025,14.9425,11.8825,14.1575,13.6025,0.56,4.08
24-May-18,14.1575,14.2225,10.8975,13.145,14.1575,-1.01,-7.15
25-May-18,13.145,13.17,11.0025,12.645,13.145,-0.5,-3.8
28-May-18,12.645,13.1475,11.3475,13.055,12.645,0.41,3.24
29-May-18,13.055,13.8675,11.975,13.07,13.055,0.02,0.11
30-May-18,13.07,13.85,12.1825,13.41,13.07,0.34,2.6
31-May-18,13.41,14.2325,12.1325,13.2225,13.41,-0.19,-1.4
01-Jun-18,13.2225,14.59,12.1575,13.57,13.2225,0.35,2.63
04-Jun-18,13.57,15.47,12.1825,13.8825,13.57,0.31,2.3
05-Jun-18,13.8825,14.49,13.1325,13.315,13.8825,-0.57,-4.09
06-Jun-18,13.315,13.51,12.1475,12.55,13.315,-0.77,-5.75
07-Jun-18,12.55,13.65,11.6125,12.7775,12.55,0.23,1.81
08-Jun-18,12.7775,13.1675,10.8025,12.6975,12.7775,-0.08,-0.63
11-Jun-18,12.6975,13.82,11.3225,13.18,12.6975,0.48,3.8
12-Jun-18,13.18,13.8975,10.445,12.73,13.18,-0.45,-3.41
13-Jun-18,12.73,13.14,11.22,12.635,12.73,-0.1,-0.75
14-Jun-18,12.635,12.635,10.43,12.095,12.635,-0.54,-4.27
15-Jun-18,12.095,12.5075,10.495,12.07,12.095,-0.03,-0.21
18-Jun-18,12.07,12.55,9.825,12.38,12.07,0.31,2.57
19-Jun-18,12.38,13,11.4775,12.92,12.38,0.54,4.36
