"Date ","Open ","High ","Low ","Close ","Prev. Close ","Change ","% Change"
"02-Jan-2023","       14.8675","       15.4525","       14.5675","       14.6850","       14.8675","       -0.1800","  -1.23"
"03-Jan-2023","       14.6850","       14.9900","       14.3050","       14.3850","       14.6850","       -0.3000","  -2.04"
"04-Jan-2023","       14.3850","       15.6825","       14.3300","       15.1975","       14.3850","        0.8100","   5.65"
"05-Jan-2023","       15.1975","       15.6000","       14.8125","       14.9825","       15.1975","       -0.2200","  -1.41"
"06-Jan-2023","       14.9825","       15.4375","       14.6225","       15.0250","       14.9825","        0.0400","   0.28"
"09-Jan-2023","       15.0250","       15.3775","       14.5300","       14.6525","       15.0250","       -0.3700","  -2.48"
"10-Jan-2023","       14.6525","       15.9350","       14.5625","       15.5100","       14.6525","        0.8600","   5.85"
"11-Jan-2023","       15.5100","       16.2250","       15.1150","       15.4350","       15.5100","       -0.0800","  -0.48"
"12-Jan-2023","       15.4350","       16.0425","       14.4175","       15.2750","       15.4350","       -0.1600","  -1.04"
"13-Jan-2023","       15.2750","       15.6025","       14.3950","       14.4600","       15.2750","       -0.8200","  -5.34"
"16-Jan-2023","       14.4600","       15.3625","       14.4600","       15.0225","       14.4600","        0.5600","   3.89"
"17-Jan-2023","       15.0225","       15.3100","       13.8400","       14.5900","       15.0225","       -0.4300","  -2.88"
"18-Jan-2023","       14.5900","       14.7500","       12.4725","       14.3725","       14.5900","       -0.2200","  -1.49"
"19-Jan-2023","       14.3725","       14.8325","       13.8925","       13.9600","       14.3725","       -0.4100","  -2.87"
"20-Jan-2023","       13.9600","       14.1850","       11.6425","       13.7875","       13.9600","       -0.1700","  -1.24"
"23-Jan-2023","       13.7875","       14.2600","       13.4800","       13.6175","       13.7875","       -0.1700","  -1.23"
"24-Jan-2023","       13.6175","       13.8100","       13.3000","       13.6575","       13.6175","        0.0400","   0.29"
"25-Jan-2023","       13.6575","       15.4225","       13.5175","       14.6550","       13.6575","        1.0000","   7.30"
"27-Jan-2023","       14.6550","       18.0125","       14.5825","       17.3200","       14.6550","        2.6700","  18.18"
"30-Jan-2023","       17.3200","       19.3900","       17.2900","       17.7100","       17.3200","        0.3900","   2.25"
"31-Jan-2023","       17.7100","       18.3675","       16.5650","       16.8750","       17.7100","       -0.8400","  -4.71"
"01-Feb-2023","       16.8750","       18.5400","       14.8475","       16.7800","       16.8750","       -0.1000","  -0.56"
"02-Feb-2023","       16.7800","       17.7675","       15.5075","       15.7325","       16.7800","       -1.0500","  -6.24"
"03-Feb-2023","       15.7325","       15.7575","       14.2700","       14.3975","       15.7325","       -1.3400","  -8.49"
"06-Feb-2023","       14.3975","       15.2050","       14.1850","       14.6875","       14.3975","        0.2900","   2.01"
"07-Feb-2023","       14.6875","       14.8750","       13.6650","       14.1250","       14.6875","       -0.5600","  -3.83"
"08-Feb-2023","       14.1250","       14.2475","       13.5350","       13.5950","       14.1250","       -0.5300","  -3.75"
"09-Feb-2023","       13.5950","       13.8150","       12.0625","       13.0400","       13.5950","       -0.5600","  -4.08"
"10-Feb-2023","       13.0400","       13.2775","       12.2075","       12.7450","       13.0400","       -0.3000","  -2.26"
"13-Feb-2023","       12.7450","       14.0950","       11.8300","       13.6800","       12.7450","        0.9400","   7.34"
"14-Feb-2023","       13.6800","       13.6800","       12.4525","       13.4525","       13.6800","       -0.2300","  -1.66"
"15-Feb-2023","       13.4525","       13.4525","       11.2800","       12.8600","       13.4525","       -0.5900","  -4.40"
"16-Feb-2023","       12.8600","       13.1625","       10.1725","       12.8900","       12.8600","        0.0300","   0.23"
"17-Feb-2023","       12.8900","       13.5200","       10.8025","       13.0850","       12.8900","        0.2000","   1.51"
"20-Feb-2023","       13.0850","       13.7075","       10.9225","       13.3825","       13.0850","        0.3000","   2.27"
"21-Feb-2023","       13.3825","       14.2950","       13.3825","       14.0075","       13.3825","        0.6300","   4.67"
"22-Feb-2023","       14.0075","       15.9150","       12.3775","       15.5875","       14.0075","        1.5800","  11.28"
